什么	3387410 什么
一个	3168881 
自己	2459041 自己
没有	2161272 没有
这个	1806810 
可以	1749158
不是	1656885 不是
就是	1604013 
时候	1331879 
问题	1323382 
觉得	1310490 觉得
因为	1288620 因为
如何	1288319 
怎么	1287496 
我们	1261044 
但是	1229758 
还是	1197596 
现在	1195017 
知道	1178132 
如果	1132424 
的人	1078677
很多	998876 
都是	992061 都是
喜欢	918465 
中国	908061 中国
所以	887802 
大家	859836 
样的	856671 
我的	846687 我的
朋友	846567 
他们	822971 
可能	780123 
个人	770603 
真的	764054 
感觉	715281 
是一	693971 
了一	692794
或者	685049 
已经	681339 
比较	679243 
工作	667809 
然后	665385 
应该	659937 
看到	658425 
这种	647255 
那么	641687 
的时	637484
有一	623012
也不	621959
开始	618093 
大学	617083 
这样	616403 
问答	608399 
回答	604560 
的一	600104
其实	592036 
这么	590305 
不会	585864 
一下	584904
人的	575796
社区	572443 
时间	566755 
需要	556955 
不能	555827 
生活	547366 
一直	544348
第一	542869 
一些	542722 
的是	539166
有哪	537757
不要	537486 
也是	529027 
只是	521661
好的	520906
还有	500638 
希望	477190 
这些	473066
你们	467179 
非常	464857 
题主	458460 
专业	456877 
而且	449157 
孩子	448483 
出来	446611 
发现	444241
公司	438692 
世界	420095 
有人	419516 
学习	409022 
其他	406933 
你的	405043 
是我	402584
是否	402346
的事	399997 
一起	393397 
基本	390093 
作为	389838 
游戏	387717 
比如	387091 
哪些	385282 
我是	380928 
东西	376684 
对于	375234
特别	372450
为了	370841
认为	370756
不过	369714 
大的	369105 
部分	368775
都不	367185 
虽然	364170
怎样	363604
到了	362910 
一定	362128 
是不	361775 
各种	361570 
之前	360593
别人	356615 
上的	354874 
学生	351956 
情况	349674 
之后	345124 
起来	341848 
美国	341328
一点	338741
他的	335984 
最后	334767
学校	333848
当时	331638
方面	330027
我不	327600
两个	327221
后来	326196
我就	322229
的话	319579
评价	316805 
选择	316763 
设计	316489
老师	314931
一般	314533
一样	313976 #
这是	310568 
几个	308996 #
社会	308920 
那个	308915 
答案	308882 
女生	306115 
电影	305270
我想	300527 
有些	297863 
以后	296326 
中的	295436 
一种	293532 
国家	292732 
日本	290663 
所有	290177
毕业	290089
那些	289554
来的	288616
甚至	287541 
完全	285716
我也	285421 #
父母	284424 
有点	280046
让我	279656
最近	278312
主要	276470
不同	274948
一次	272234#
直接	272030
同学	267881
手机	267824
关系	264405
目前	263280
了解	262634
研究	260509
说的	260142
只有	256039
相关	254182
各位	253839#
原因	253434#-----
推荐	251144
来说	250057
不好	248464#
重要	248378
当然	248140
的地	247427
每天	245961
影响	245327
以及	243318
不到	243199
到底	242372
看待	242248
发展	239436
任何	239296
是个	238883
并不	238742
国内	238671
经历	238440
关于	238255
看了	236441
里的	236220
心理	235233
理解	235224
简单	235177
会有	234668
结果	234370
经济	234244
能力	233951
就不	232897
本人	230372
只能	230010
的不	229934
以前	229458
产品	227937
技术	227523
今天	226955
历史	226882
体验	226880
给我	225798
通过	225475
经常	225102
事情	224428
里面	223708
是在	222207
故事	221664
的大	221357
是什	217979
都有	217201
城市	214978
无法	214531
第二	214246
多的	213555
普通	212500
容易	212349
存在	211787
告诉	209521
的女	209135
使用	208988
大概	208769
努力	208613
这一	207806
到的	206628
我在	205951
也有	204220
家里	204033
多少	203945
男生	203060
年的	201241
这里	200431
出现	200299
发生	199217
除了	198929
成为	198410
首先	198400
的那	196557
以为	196540
可是	195531
要求	194940
确实	194410
也没	193750
才能	193400
行业	192130
突然	191968
建议	191798
有的	190735
好像	188361
关注	187659
微信	186464
进行	186203
都会	185763
意思	185734
过的	185014
为什	184636
面的	184391
公众	184098
准备	183888
教育	182005
知识	181658
遇到	180892
不想	180421
不知	179373
北京	179261
高中	178305
是很	177725
真正	177422
谢谢	177362
肯定	177016
大多	176730
考虑	176182
评论	176073
能够	176015
看看	176011
只要	175750
让你	175598
不了	174783
是有	174032
最好	174022
在一	173928
认识	172875
类似	172402
爱好	172312
根本	172099
说我	171841
的方	169589
曾经	169359
在我	167400
句话	166999
并且	166839
有个	166500
想要	166363
下来	166338
微博	166250
适合	165888
男人	165568
水平	165565
分析	165520
就会	165507
生的	165438
有多	164986
主义	164675
系统	163514
个月	162462
数据	161495
子的	160285
那种	160082
想到	159824
文化	159731
都没	159730
用的	159485
多人	158933
市场	158711
一年	158495
学的	157530
经验	157498
具体	157078
注意	156900
以下	156854
感谢	156680
小时	156554
每次	156368
之类	156249
英语	156082
毕竟	155640
几乎	155346
家庭	154812
不可	154411
地方	154068
相信	153752
对方	153656
解决	153388
让人	152912
所谓	152904
必须	152874
包括	152721
人都	152528
内容	152523
音乐	151578
正常	151459
愿意	151357
她的	150949
家的	150836
实际	150567
实在	150549
行为	150390
越来	150275
用户	149733
接受	148231
分享	148077
身边	148045
人生	147840
基础	147691
很好	147577
和我	146893
总是	146523
医生	146101
们的	145909
心里	145761
过程	145399
妈妈	145008
晚上	144979
同时	144903
成了	144645
性的	144597
对我	143920
导致	143791
自然	143189
继续	142542
去了	142477
科学	141653
结婚	141392
之间	141268
决定	141005
由于	140543
成功	140432
而是	140285
讨论	140238
身体	140062
不用	139877
方式	139233
语言	138802
信息	138621
本来	138410
不太	137819
网络	137643
找到	136942
补充	136908
值得	136775
工程	135959
本身	135723
意义	135686
环境	134998
程序	134848
方法	134639
改变	134103
运动	133933
的好	133225
是怎	133202
年轻	132739
管理	132525
跟我	131711
上海	131711
平时	131454
电视	131411
人类	130929
感受	130875
的情	129995
价值	128926
心的	128820
属于	128739
了我	128607
做的	128521
至于	128359
出去	128226
人家	128195
哈哈	128044
得到	127369
无论	126767
哪个	126520
出了	126405
女性	126287
感情	126208
未来	126048
算是	125973
职业	125959
有什	125784
网上	125597
太多	125048
人民	125025
记得	124914
说明	124808
支持	124491
的问	124481
给你	124444
企业	124442
条件	124334
政治	124234
新闻	123859
角度	123472
安全	123352
兴趣	123245
医院	123092
下面	122869
几年	122860
清楚	122540
也很	122443
真是	122286
如此	122265
过去	122258
电话	122121
联网	122092
现实	122036
都在	121916
视频	121643
作品	121602
台湾	121569
不错	121486
国的	121010
于是	120801
哪里	120630
高考	120561
文章	120448
下的	120198
数学	120177
另外	119664
明白	119605
软件	119119
恋爱	119063
计算	118903
坚持	118835
一天	118636
好好	118042
本科	118037
国人	117867
很难	117742
解释	117718
说是	117696
尤其	117666
程度	117482
不得	117334
今年	116891
帮助	116741
成绩	116641
别的	116533
从来	116464
自由	116197
产生	116000
价格	115875
不管	115816
不多	115613
也会	115506
然而	115469
大神	115453
更新	115452
项目	115429
服务	115385
整个	115310
不起	114810
至少	114638
办法	114613
好多	114570
以上	114097
政府	113913
还要	113801
